"ID";"AZWBranches";"Perioden";"TevredenMetWerk_1";"VeelTeHoog_3";"Goed_4";"VeelTeLaag_5";"TrotsOpDeOrganisatie_17"
"97";"427300 ";"2022KW04";"    70.9";"    54.6";"    44.3";"     1.1";"    57.4"
"98";"427300 ";"2023KW02";"    69.7";"    54.5";"    44.7";"     0.8";"       ."
"99";"427300 ";"2023KW04";"    76.4";"    42.6";"    56.8";"     0.6";"    62.4"
"100";"800041 ";"2019KW02";"    77.5";"    52.6";"    45.4";"     2.0";"       ."
"101";"800041 ";"2019KW04";"    78.1";"    52.3";"    46.6";"     1.1";"    62.2"
"102";"800041 ";"2020KW02";"";"";"";"";"       ."
"103";"800041 ";"2020KW04";"    82.0";"    42.9";"    54.8";"     2.3";"       ."
"104";"800041 ";"2021KW02";"    77.2";"    50.5";"    47.4";"     2.1";"    63.6"
"105";"800041 ";"2021KW04";"    73.4";"    48.9";"    50.0";"     1.1";"    60.6"
"106";"800041 ";"2022KW02";"    70.8";"    55.0";"    42.7";"     2.3";"       ."
"107";"800041 ";"2022KW04";"    77.6";"    50.0";"    48.3";"     1.7";"    59.2"
"108";"800041 ";"2023KW02";"    74.5";"    44.4";"    53.0";"     2.6";"       ."
"109";"800041 ";"2023KW04";"    78.2";"    40.0";"    59.0";"     1.1";"    66.0"
"110";"B000117";"2019KW02";"    79.7";"    35.9";"    60.8";"     3.3";"       ."
"111";"B000117";"2019KW04";"    78.7";"    39.3";"    59.1";"     1.6";"    67.3"
"112";"B000117";"2020KW02";"";"";"";"";"       ."
"113";"B000117";"2020KW04";"    82.7";"    30.2";"    66.3";"     3.5";"       ."
"114";"B000117";"2021KW02";"    77.9";"    36.4";"    60.6";"     3.0";"    63.9"
"115";"B000117";"2021KW04";"    81.4";"    34.7";"    63.4";"     1.8";"    69.7"
"116";"B000117";"2022KW02";"    77.5";"    40.7";"    56.6";"     2.7";"       ."
"117";"B000117";"2022KW04";"    79.6";"    34.3";"    63.9";"     1.8";"    66.6"
"118";"B000117";"2023KW02";"    74.6";"    41.9";"    54.9";"     3.2";"       ."
"119";"B000117";"2023KW04";"    82.3";"    35.7";"    61.5";"     2.8";"    75.1"
"120";"B000129";"2019KW02";"    76.1";"    50.3";"    48.5";"     1.2";"       ."
"121";"B000129";"2019KW04";"    76.6";"    53.5";"    46.2";"     0.3";"    56.3"
"122";"B000129";"2020KW02";"";"";"";"";"       ."
"123";"B000129";"2020KW04";"    80.9";"    45.9";"    52.7";"     1.4";"       ."
"124";"B000129";"2021KW02";"    78.9";"    46.6";"    52.2";"     1.2";"    55.8"
"125";"B000129";"2021KW04";"    71.0";"    51.0";"    48.1";"     0.8";"    54.8"
"126";"B000129";"2022KW02";"    68.1";"    57.4";"    41.4";"     1.2";"       ."
"127";"B000129";"2022KW04";"    73.1";"    46.9";"    51.9";"     1.2";"    53.4"
"128";"B000129";"2023KW02";"    71.1";"    50.2";"    48.3";"     1.5";"       ."
"129";"B000129";"2023KW04";"    73.1";"    43.0";"    55.7";"     1.3";"    55.9"
"130";"426900 ";"2019KW02";"    77.6";"    36.8";"    61.9";"     1.3";"       ."
"131";"426900 ";"2019KW04";"    79.9";"    42.2";"    57.2";"     0.6";"    62.0"
"132";"426900 ";"2020KW02";"";"";"";"";"       ."
"133";"426900 ";"2020KW04";"    82.1";"    29.0";"    70.1";"     1.0";"       ."
"134";"426900 ";"2021KW02";"    82.3";"    31.8";"    66.3";"     1.9";"    66.2"
"135";"426900 ";"2021KW04";"    78.4";"    36.9";"    61.9";"     1.2";"    64.7"
"136";"426900 ";"2022KW02";"    73.8";"    40.1";"    58.3";"     1.6";"       ."
"137";"426900 ";"2022KW04";"    80.3";"    32.0";"    67.2";"     0.8";"    64.0"
"138";"426900 ";"2023KW02";"    74.0";"    38.8";"    59.4";"     1.9";"       ."
"139";"426900 ";"2023KW04";"    77.3";"    29.4";"    69.4";"     1.2";"    66.8"
"140";"426500 ";"2019KW02";"       .";"       .";"       .";"       .";"       ."
"141";"426500 ";"2019KW04";"       .";"       .";"       .";"       .";"       ."
"142";"426500 ";"2020KW02";"";"";"";"";"       ."
"143";"426500 ";"2020KW04";"       .";"       .";"       .";"       .";"       ."
"144";"426500 ";"2021KW02";"       .";"       .";"       .";"       .";"       ."
"145";"426500 ";"2021KW04";"       .";"       .";"       .";"       .";"       ."
"146";"426500 ";"2022KW02";"       .";"       .";"       .";"       .";"       ."
"147";"426500 ";"2022KW04";"       .";"       .";"       .";"       .";"       ."
"148";"426500 ";"2023KW02";"       .";"       .";"       .";"       .";"       ."
"149";"426500 ";"2023KW04";"       .";"       .";"       .";"       .";"       ."
"150";"B000130";"2019KW02";"    80.9";"    35.7";"    61.2";"     3.1";"       ."
"151";"B000130";"2019KW04";"       .";"       .";"       .";"       .";"       ."
"152";"B000130";"2020KW02";"";"";"";"";"       ."
"153";"B000130";"2020KW04";"    84.7";"    26.2";"    69.5";"     4.4";"       ."
"154";"B000130";"2021KW02";"    78.5";"    37.9";"    58.7";"     3.4";"    62.4"
"155";"B000130";"2021KW04";"    80.8";"    38.4";"    61.1";"     0.5";"    68.1"
"156";"B000130";"2022KW02";"    78.2";"    42.7";"    55.4";"     1.9";"       ."
"157";"B000130";"2022KW04";"    82.5";"    35.6";"    62.6";"     1.8";"    64.4"
"158";"B000130";"2023KW02";"    74.6";"    44.1";"    52.8";"     3.0";"       ."
"159";"B000130";"2023KW04";"    82.9";"    34.7";"    62.1";"     3.2";"    72.5"
"160";"427800 ";"2019KW02";"    82.7";"    32.8";"    63.7";"     3.4";"       ."
"161";"427800 ";"2019KW04";"    85.7";"    34.3";"    64.1";"     1.7";"    69.9"
"162";"427800 ";"2020KW02";"";"";"";"";"       ."
"163";"427800 ";"2020KW04";"       .";"       .";"       .";"       .";"       ."
"164";"427800 ";"2021KW02";"       .";"       .";"       .";"       .";"       ."
"165";"427800 ";"2021KW04";"       .";"       .";"       .";"       .";"       ."
"166";"427800 ";"2022KW02";"       .";"       .";"       .";"       .";"       ."
"167";"427800 ";"2022KW04";"       .";"       .";"       .";"       .";"       ."
"168";"427800 ";"2023KW02";"       .";"       .";"       .";"       .";"       ."
"169";"427800 ";"2023KW04";"       .";"       .";"       .";"       .";"       ."
"170";"428000 ";"2019KW02";"    78.6";"    37.1";"    60.2";"     2.7";"       ."
"171";"428000 ";"2019KW04";"    76.5";"    34.0";"    65.5";"     0.5";"    65.9"
"172";"428000 ";"2020KW02";"";"";"";"";"       ."
"173";"428000 ";"2020KW04";"       .";"       .";"       .";"       .";"       ."
"174";"428000 ";"2021KW02";"       .";"       .";"       .";"       .";"       ."
"175";"428000 ";"2021KW04";"       .";"       .";"       .";"       .";"       ."
"176";"428000 ";"2022KW02";"       .";"       .";"       .";"       .";"       ."
"177";"428000 ";"2022KW04";"       .";"       .";"       .";"       .";"       ."
"178";"428000 ";"2023KW02";"       .";"       .";"       .";"       .";"       ."
"179";"428000 ";"2023KW04";"       .";"       .";"       .";"       .";"       ."
